"EXFORD (LOWER THORNE)",,,,,,,,,,,,
Grid ref,SS843384,Long,-3.654979,Lat,51.133150,,,,,,,
Station no,2116/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.49,9.07,1.41,3.76,6.68,6.82,8.15,7.65,8.53,6.75,,
February,7.43,1.80,3.61,6.61,4.83,0.69,7.88,7.46,0.34,5.62,,
March,6.51,4.17,2.56,6.72,1.92,2.95,6.60,1.91,4.79,2.87,,
April,6.99,5.10,4.70,1.23,3.15,1.79,0.40,2.24,6.50,4.06,,
May,3.71,3.92,3.47,4.32,7.11,1.40,3.40,6.29,1.57,2.46,,
June,1.33,2.86,2.50,4.16,5.24,3.31,1.72,3.87,2.64,2.93,,
July,2.09,1.96,6.93,5.91,2.51,6.56,5.93,4.67,4.29,8.35,,
August,5.96,11.15,6.52,5.76,-999.00,5.43,6.16,6.70,4.09,6.20,,
September,5.78,6.20,8.08,8.72,2.67,10.93,9.26,9.26,0.46,5.51,,
October,2.84,7.97,4.43,9.57,3.71,4.06,8.18,6.26,8.22,11.54,,
November,10.61,6.49,6.39,13.92,5.08,2.33,3.21,3.71,9.25,10.81,,
December,6.49,7.64,2.23,7.97,9.56,7.73,5.25,6.76,15.03,12.36,,
Total,69.23,68.33,52.83,78.65,53.31,54.00,66.14,66.78,65.71,79.46,,
Calc annual,69.23,68.33,52.83,78.65,52.46,54.00,66.14,66.78,65.71,79.46,,
Difference,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,,
