"BALLYMENA (HARRYVILLE)",,,,,,,,,,,,
Grid ref,ID107028,Long,-6.276621,Lat,54.860868,,,,,,,
Station no,6235,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.57,4.89,1.63,3.82,3.86,3.54,4.74,4.34,2.73,3.61,,
February,2.76,1.26,1.65,4.13,3.83,1.37,2.36,4.35,1.19,3.98,,
March,2.20,2.08,0.54,2.89,0.75,1.50,3.07,1.57,2.50,2.09,,
April,1.56,1.61,2.32,0.61,2.42,1.40,1.60,1.70,2.78,2.59,,
May,1.45,1.50,1.73,4.36,2.78,1.26,1.55,2.57,1.37,1.76,,
June,3.29,2.97,2.93,3.50,3.95,3.47,3.43,3.54,1.61,2.14,,
July,3.55,2.04,4.18,3.99,1.16,4.47,4.53,4.75,3.30,5.92,,
August,4.94,7.04,4.30,2.38,0.97,6.53,3.44,4.45,0.77,4.31,,
September,2.42,2.90,3.60,4.63,4.69,2.55,5.52,3.90,1.70,2.67,,
October,1.34,4.10,2.53,7.76,3.54,3.63,4.12,2.24,5.16,3.76,,
November,7.29,3.59,3.20,5.75,2.17,2.39,1.46,2.04,3.70,3.37,,
December,4.98,4.66,3.76,6.04,4.34,4.52,5.66,4.33,6.74,3.34,,
Total,39.35,38.64,32.37,49.86,34.46,36.63,41.48,39.78,33.55,39.54,,
Calc annual,39.35,38.64,32.37,49.86,34.46,36.63,41.48,39.78,33.55,39.54,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
