HONITON-BEECH-GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST155003,Long,-3.1993,Lat,50.79646,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,6.56,2.12,5.05,4.39,6.16,5.5,6.85,2.3,6.49,3.58,3.65,2.76,2.98,0.78,7.38,7.87,4.33,6.79,2.26,5.73,4.65,8.83,2.47,2.18,,,,,
February,,,3.75,10.61,1.13,6.05,2.99,4.54,3.48,2.47,1.46,2.8,0.04,5.93,0.26,4.61,4,7.32,1.11,2.56,4.54,4.69,0.32,1.93,0.71,2.21,,,,,
March,,,3.17,1.81,1.83,0.36,0.83,5.11,3.72,0.21,2.83,1.63,3.05,4.38,3.7,1.41,5.43,6.35,0.3,1.42,2.81,2.54,3.14,1.6,0.07,0.69,,,,,
April,,,3.39,4.26,3.69,4.17,2.47,2.46,2,0.83,4.39,2.88,3.42,1.91,3.91,5.23,2.46,2.83,0.09,2.75,2.76,1.6,2.08,1.34,2.74,0.75,,,,,
May,,,0.55,1.24,4.97,4.49,1.49,1.09,1.84,2.39,2.17,3.26,4.24,2.55,3.13,1.59,0.84,2.77,3.17,1.01,1.95,2.25,7.76,2.29,0.92,4.16,,,,,
June,,,0.78,0.59,2.65,0.04,3.78,2.61,1.8,2.37,0.13,2.97,3.36,3.14,0.26,4.06,2.05,1.35,2.07,2.83,0.93,1.96,0.8,1.9,2.03,3.03,,,,,
July,,,3.4,1.16,4.29,2.88,2.33,4.15,1.52,1.21,2.12,5.09,3.29,2.52,0.92,0.56,7.27,3.51,4.75,5.05,5.91,0.86,1.83,3.76,2.65,2.37,,,,,
August,,,3.38,3.03,4.02,3.93,1.62,3.77,1.6,3,4.56,3.83,1.62,1.12,4.59,2.53,0.25,0.89,2.96,2.75,0.91,4.44,5.43,3.56,3.2,3.5,,,,,
September,,,2.32,3,5.54,4.68,1.21,4.93,1.32,0.68,6.82,1.81,5.49,1.98,2.17,3.69,3.63,2.97,2.61,1.58,2.09,1.81,4.08,4.42,2.29,2.15,,,,,
October,,,1.17,5.19,6.55,4.21,3.11,2.13,7.53,6.03,4.29,0.54,6.66,2.98,2.92,4.77,1.64,4.8,3.55,5.88,5.29,1.77,4.02,4.99,5.87,5.15,,,,,
November,,,2.41,2.6,4.65,3.47,11.18,4.01,4.44,12.1,5.78,7.27,2.7,1.17,1.71,7.53,3.75,2.37,6.12,7.91,7.84,3.62,1.08,3.62,6.4,1.05,,,,,
December,,,5.91,3.86,4.57,5.25,0.5,4.74,3.66,9.35,4.77,1.93,4.08,2.77,13.04,5.36,2.97,4.41,5.23,2.05,3.57,2.89,4.67,4.87,4.24,5.98,,,,,
Total,,,36.79,39.47,48.94,43.92,37.67,45.04,39.76,42.94,45.81,37.59,41.6,33.21,39.59,42.12,41.67,47.44,36.29,42.58,40.86,34.16,39.86,43.11,33.59,33.22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Station terminated Observer unable to continue and gauge broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
