MANCHESTER PRESTWICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD804041,Long,-2.297174,Lat,53.533184,Elevation,295,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,4.17,1.81,0.33,0.83,3.32,4.83,4.92,2.17,5.18,2.35,1.96,1.66,4.03,2.59,4.29,1.44,2.9,3.48,1.78,1.89,2.71,4.85,5.46,2.92,2.92,2.83,3.17,2.28,5.02,2.17,3.38,2.16,4.33,1.21,,,,,,,,
February,,,,,,,,,1.22,3.19,1.82,1.48,2.53,1.92,2.24,3.12,0.89,0.76,0.96,2.38,0.47,0.42,2.53,4.29,5.3,0.45,2.17,2.95,3.22,1.26,3.35,1.79,1.62,3.58,3.85,2.08,3.69,2.11,3.37,1.69,3.64,3.74,,,,,,,,
March,,,,,,,,,1.67,1.81,2.85,4.65,3.03,1.15,2.2,2.54,2.85,1.93,2.25,2.75,3.41,1.89,1.05,0.7,3.47,3.13,5.09,3.36,1.99,2.04,0.63,3.04,2.32,3.84,2.11,3.89,3.19,3.49,3.01,3.34,0.77,1.82,,,,,,,,
April,,,,,,,,,1.9,2.57,1.78,2.02,4.4,1.91,0.82,1.09,1.92,1.03,1.58,2.35,1.03,2.4,1.46,0.79,1.8,2.05,2.04,2.75,2.19,3.6,2.47,2.96,2.5,2.08,2.44,3.29,2.28,1.4,2.89,3.63,2.79,2.71,,,,,,,,
May,,,,,,,,,3.78,1.98,2.51,4.16,2.69,0.79,1.99,2.36,5.79,2.19,1.01,3.33,2.37,2.67,4.06,2.11,2.65,0.97,0.44,2.05,3.47,2.75,1.8,0.85,3.55,3.56,3,0.61,3.74,3.92,2.98,2.19,3.57,1.43,,,,,,,,
June,,,,,,,,,3.16,4.72,2.37,1.99,6.86,4.14,0.98,4.01,1.95,1.14,3.38,0.86,3.64,2.68,3.55,1.92,3.19,1.3,2.6,4.13,2.53,2.03,3.42,2.35,1.17,1.67,1.43,2.51,1.57,7.44,1.94,2.16,3.28,2.65,,,,,,,,
July,,,,,,,,,0.79,4.59,5.73,3.79,6.54,2.73,4.41,1.62,3.54,1.5,7.36,3.83,3.07,3.17,4.29,3.49,3.39,5.12,2.76,1.47,0.64,1.65,2.7,2.94,2.56,3.76,1.51,2.69,1.51,3.47,5.1,5.83,4.06,0.48,,,,,,,,
August,,,,,,,,,5.43,5.69,1.35,4.47,3.57,2.74,2.14,1.7,2.57,1.36,4.13,6.59,4.88,6.76,5.48,2.49,4.68,3.97,2.97,3.55,5.24,1.51,7.42,2.27,2.87,4.78,4.77,4.92,4.54,4.58,3.96,3.48,5.86,2.47,,,,,,,,
September,,,,,,,,,4.78,2.65,5.16,2.77,2.02,5.77,3.65,5.78,4.26,4.5,1.62,3,1.73,3.1,4.5,4.54,0.65,2.5,7.89,4.33,0.87,5.89,1.49,1.32,1.44,5.58,1.6,2.84,1.7,0.96,3.88,2.5,0.31,3.95,,,,,,,,
October,,,,,,,,,3.81,2.8,1.87,3.18,3.7,5.31,2.31,6.34,5.84,2.28,1.87,2.89,2.94,4.39,5.35,3.52,4.87,3.62,4.43,2.24,3.57,3.12,5.81,3.3,4.87,7.86,2,3.46,6.99,4.15,1.75,5.6,3.33,3.11,,,,,,,,
November,,,,,,,,,2.45,1.4,3.08,4.25,6.2,3.8,1.84,3.14,2.87,1.59,5.36,1.91,5.85,3.54,3.09,2.81,2.26,3.01,1.29,5.54,2.54,1.59,3.29,4.76,2.16,4.13,3.2,4.02,3.19,3.17,2.78,1.33,5.09,3.41,,,,,,,,
December,,,,,,,,,2.97,2.06,3.35,4.63,4.76,3.52,4.72,2.91,4.39,3.31,2.47,3.17,0.45,6.27,2.77,3.78,4.06,4.59,4.96,4.8,4.2,3.2,4.92,4.82,2.72,1.55,2.81,0.68,4.77,3.55,2.68,7.25,3.05,6.24,,,,,,,,
Total,,,,,,,,,36.13,35.27,32.2,38.22,49.62,38.61,32.22,36.78,42.05,23.94,33.95,34.72,33.87,39.88,42.42,31.88,39.22,34.19,38.42,39.06,33.17,33.49,42.76,33.32,30.7,45.22,31.89,33.27,42.19,40.41,37.72,41.16,40.08,33.22,,,,,,,,
