NORTON DISNEY VICARAGE,,,,,,,,,,
Grid ref,SK891588,Long,-0.670,Lat,53.119,Elevation,41,ft,,
Station no,2548/5,,,,,,,,,
,,,,,,,,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,1.15,1.85,3.26,1.15,0.88,1.99,1.12,0.81,1.07
February,,2.56,2.27,1.04,0.35,3.72,2.90,0.39,1.27,1.95
March,,1.29,4.37,0.26,1.34,0.86,3.53,2.60,0.69,1.26
April,,1.77,1.76,1.46,1.86,2.49,1.54,1.02,1.77,0.12
May,,1.32,1.11,1.84,2.06,2.11,2.83,1.31,2.46,2.79
June,,2.67,3.05,2.59,1.43,0.87,1.27,2.47,2.39,2.81
July,,2.11,1.82,1.11,3.47,1.84,0.61,0.37,1.75,1.35
August,,3.88,0.23,2.67,1.43,1.97,5.34,1.68,1.56,3.13
September,1.36,3.11,0.98,2.40,1.30,3.05,0.93,1.78,1.25,2.12
October,3.01,1.44,0.30,1.87,3.78,0.80,1.62,2.75,2.15,3.10
November,0.46,4.30,1.03,0.83,2.57,4.27,4.83,1.81,1.59,4.15
December,1.39,2.81,1.92,3.11,1.23,1.31,1.11,1.78,0.79,2.30
Total,,28.41,20.69,22.44,21.97,24.17,28.50,19.08,18.48,26.15
,,,,,,,,,,
TYRain_1941-1950_17_pt1/212,,,,,,,,,,
TYRain_1951-1960_15_pt1/211,,,,,,,,,,
