"PORT WILLIAM",,,,,,,,,,,,
Grid ref,NX361433,Long,-4.548607,Lat,54.757819,,,,,,,
Station no,5007,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.59,3.49,1.73,3.37,3.01,4.61,3.90,5.11,1.69,4.15,,
February,2.65,0.56,1.01,3.65,3.24,0.99,3.36,4.05,1.75,3.27,,
March,3.36,2.27,0.49,3.47,2.68,1.80,3.58,1.70,2.80,2.22,,
April,1.23,1.45,2.12,0.85,2.80,1.56,2.13,1.08,2.92,2.95,,
May,1.99,1.95,3.04,2.75,3.43,1.05,2.93,3.31,1.04,2.23,,
June,1.91,2.20,1.03,3.06,4.51,2.91,1.48,4.40,2.82,1.96,,
July,2.34,2.20,4.45,4.41,2.02,4.15,5.47,3.83,2.22,4.14,,
August,4.35,4.53,2.46,3.96,1.33,7.32,3.16,3.97,0.52,4.28,,
September,3.95,2.83,5.78,4.41,2.31,5.37,4.99,5.05,2.38,3.87,,
October,0.63,4.18,3.85,8.42,-999.00,2.29,4.48,4.29,4.83,6.27,,
November,7.40,2.93,4.97,7.54,3.01,1.94,2.53,2.62,5.13,7.34,,
December,6.80,3.80,3.48,4.26,4.65,4.17,3.88,5.43,6.61,3.33,,
Total,41.20,32.39,34.41,50.15,35.10,38.16,41.89,44.84,34.71,46.01,,
Calc annual,41.20,32.39,34.41,50.15,32.99,38.16,41.89,44.84,34.71,46.01,,
Difference,0.00,0.00,-0.00,0.00,2.11,-0.00,-0.00,0.00,0.00,-0.00,,
